read,name,link
N,Gogs - Go Git Service,https://gogs.io/
Y,Run Jekyll on Windows,http://jekyll-windows.juthilo.com
Y,Gitlab EE pages-jekyll repo example,https://gitlab.com/gitlab-examples/pages-jekyll
Y,Kiwi - for addition to the ADN Wiki - ask @33mhz for details,https://posts.app.net/67482459
Y,Installing Linux on a Chromebook,https://www.linux.com/learn/tutorials/795730-how-to-easily-install-ubuntu-on-chromebook-with-crouton
Y,Twtxt - Decentralised minimalist microblogging service for hackers - via @adiabatic,https://github.com/buckket/twtxt
Y,How to use Windows 10 File History backup feature,http://www.pcworld.com/article/2974385/windows/how-to-use-windows-10s-file-history-backup-feature.html
Y,Arq backup service,https://www.arqbackup.com/features/wiki
Y,GitHub Pages Jekyll 3.0,https://github.com/blog/2100-github-pages-now-faster-and-simpler-with-jekyll-3-0
Y,CrashPlan backup service,https://www.code42.com/crashplan/
Y,GitHub service status page,https://status.github.com/messages
Y,Tips for CAD managers when communicating with IT,http://cadmanager.autodesk.co.uk/project-execution/tips-cad-managers-communicating/
Y,built.io support for ADN - @flashblu,https://posts.app.net/67307386
Y,Thermodynamics Rules - by @jeremycherfas,http://www.jeremycherfas.net/blog/thermodynamics-rules
Y,Book recommendation by @ukhaiku - re. my Mortality blog post,https://www.waterstones.com/book/buddha-da/anne-donovan/9781847673459
Y,Community codes-of-conduct - brief conversation started by @feorlen,https://posts.app.net/67264281
Y,ADN Minecraft server map - by @33mhz (see @s3rv),https://s3rv.com/mc/
Y,ADN brief literary conversation,https://posts.app.net/67229329
Y,Bobby's Lament by @mlv,https://github.com/mlv/stories/blob/master/BobbysLament.md
Y,Applying media theories to Social media - from 33mhz,http://start-thinking.com/sm-and-comm-theories
Y,Jekyll Liquid Data files,http://jekyllrb.com/docs/datafiles/
Y,My test blog,http://baz.bt3.com/
Y,My primary blog,http://blog.bt3.com/